Rk,Player Name,Nation,Position,Squad,Comp,Age,Birth Year,Games,Starts,Minutes,Nintys,Gls,Ast,G+A,G-PK,PK,PKatt,Yellow,Red,PrgC,PrgP,PrgR,Market Value
109,nadiem amiri,GER,MF,mainz 05,Bundesliga,28,1996,20,20,1588,17.6,4,2,6,2,2,2,6,2,30,127,45,11.0
110,samuel amoameyaw,ENG,FW,southampton,Premier League,18,2006,2,0,28,0.3,0,0,0,0,0,0,1,0,1,0,3,12.58
111,mathis amougou,FRA,MF,sainttienne,Ligue 1,19,2006,17,9,859,9.5,0,0,0,0,0,0,2,0,8,36,17,5.0
112,mohamed amoura,ALG,FW,wolfsburg,Bundesliga,24,2000,21,20,1732,19.2,9,7,16,8,1,1,3,0,62,44,163,22.0
113,sofyan amrabat,MAR,MF,fiorentina,Serie A,28,1996,2,2,180,2.0,0,0,0,0,0,0,0,0,2,14,1,22.0
114,joachim andersen,DEN,DF,crystal palace,Premier League,28,1996,1,1,90,1.0,0,0,0,0,0,0,1,0,1,4,1,32.0
116,elliot anderson,ENG,MF,nottham forest,Premier League,22,2002,25,21,1712,19.0,1,5,6,1,0,0,6,0,32,91,63,15.0
117,andr,BRA,MF,wolves,Premier League,23,2001,21,19,1492,16.6,0,0,0,0,0,0,3,0,5,55,6,50.0
118,benjamin andr,FRA,MF,lille,Ligue 1,34,1990,20,20,1792,19.9,0,1,1,0,0,0,10,0,18,148,44,13.0
119,marcos andr,BRA,FW,valladolid,La Liga,28,1996,17,12,1011,11.2,1,1,2,1,0,0,5,0,11,12,32,25.0
120,robert andrich,GER,MF,leverkusen,Bundesliga,30,1994,17,15,1240,13.8,2,1,3,2,0,0,6,0,7,54,14,15.0
121,angelio,ESP,DF,roma,Serie A,28,1997,25,24,2082,23.1,1,1,2,1,0,0,1,0,38,126,105,8.0
122,lorenzo anghel,ITA,FW,juventus,Serie A,19,2005,1,0,6,0.1,0,0,0,0,0,0,0,0,0,1,0,12.58
123,faustino anjorin,ENG,MF,empoli,Serie A,23,2001,17,13,983,10.9,0,3,3,0,0,0,2,0,27,50,30,12.58
124,waldemar anton,GER,DF,dortmund,Bundesliga,28,1996,16,13,1139,12.7,0,2,2,0,0,0,3,0,23,83,10,24.0
125,leandro antonetti,PUR,FW,sevilla,La Liga,22,2003,1,0,11,0.1,0,0,0,0,0,0,0,0,0,0,1,12.58
126,michail antonio,JAM,FW,west ham,Premier League,34,1990,14,11,836,9.3,1,1,2,1,0,0,1,0,29,18,59,12.58
127,antoniu,ESP,MF,espanyol,La Liga,22,2002,14,6,484,5.4,0,1,1,0,0,0,3,0,17,11,34,38.0
128,antony,BRA,DF,manchester utd,Premier League,25,2000,8,0,141,1.6,0,0,0,0,0,0,0,0,5,6,7,35.0
130,anuar,MAR,FW,valladolid,La Liga,30,1995,15,13,1136,12.6,2,0,2,2,0,0,5,0,13,17,34,12.58
131,dennis appiah,FRA,DF,sainttienne,Ligue 1,32,1992,20,16,1558,17.3,0,1,1,0,0,0,1,0,36,64,73,12.58
132,aritz arambarri,ESP,DF,legans,La Liga,27,1998,2,2,177,2.0,0,0,0,0,0,0,0,0,0,2,0,12.58
133,mauro arambarri,URU,MF,getafe,La Liga,29,1995,23,19,1627,18.1,6,0,6,3,3,3,7,0,9,45,23,12.58
134,jon aramburu,VEN,DF,real sociedad,La Liga,22,2002,22,20,1705,18.9,0,1,1,0,0,0,7,0,20,75,33,12.0
135,julian araujo,MEX,DF,bournemouth,Premier League,23,2001,8,5,355,3.9,0,0,0,0,0,0,1,0,2,14,11,10.0
